barthann	-35.89 	1.42 	1.98 	-1.46 	1.49
bartlett	-26.43	1.30 	1.80 	-1.75 	1.36
blackman	-58.11 	1.67 	2.34 	-1.05 	1.76
blackmanharris 	-92.10 	1.93 	2.72 	-0.79 	2.04
bohman	-46.00 	1.73 	2.42 	-0.98 	1.82
boxcar	-13.25 	0.88 	1.20 	-3.91 	1.00
'chebwin(N=51;at=100)'	-100.0 	1.85 	2.60 	-0.86 	1.96
cosine	      -23.02 	1.19 	1.64 	-2.10 	1.23
flattop	      -67.74 	3.80 	4.68 	-0.02 	3.84
gaussian(N=51;sig=7)	-75.49 	1.93 	2.73 	-0.80 	2.06
general_gaussian(N=51;p=1.5;sig=7)	-24.89 	2.46 	3.41 	-0.48 	2.57
hamming	-42.31 	1.32 	1.84 	-1.70 	1.38
hann	-31.47 	1.47 	2.04 	-1.37 	1.53
kaiser(N=51;beta=14)	-105.73 	2.08 	2.93 	-0.68 	2.20
nuttall	     -92.28 	1.91 	2.68 	-0.82 	2.02
parzen	     -53.04 	1.82 	2.55 	-0.90 	1.92
stepian(N=51;width=0.3)	-91.69 	1.87 	2.63 	-0.84 	1.98
triang	      -26.44 	1.25 	1.73 	-1.89 	1.31